,,,,,,
,date,time_min,tag1,tag2,tag3,
,2023-11-25,25,Organisation,UCC,,
,,25,,,,
,,25,,,,
,,25,,,,
,,5,,,,
,,25,Coding,UCC,R,
,,25,,,,
,,25,,,,
,,25,,,,
,,25,,,,
,,25,,,,
,,30,Organisation,UCC,,
,,15,,,,
,,30,Reading,UCC,,
,,17,Writing,UCC,Notes,
,2023-11-26,25,Coding,UCC,R,
,,60,,,,
,,15,,,,
,,25,,,,
,,25,,,,
,,25,,,,
,,25,,,,
,,25,,,,
,,25,,,,
,,25,,,,
,,30,Organisation,UCC,,
,,30,Writing,UCC,Critiques,
,,35,Organisation,UCC,,
,,30,Reading,UCC,Review,
,,25,,,,
,,29,,,,
,,18,Organisation,UCC,,
,2023-11-27,25,Coding,UCC,R,
,,25,,,,
,,10,,,,
,,7,Organisation,UCC,,
,,25,Reading,UCC,PG7049,
,,25,,,,
,,35,,,,
,,25,,,,
,,26,,,,
,,26,,,,
,,22,Organisation,UCC,,
,,25,Organisation,UCC,PG6030,
,,60,Coding,UCC,PG6030,R
,,36,,,,
,,12,Organisation,UCC,,
,,15,Coding,UCC,PG6030,R
,,25,,,,
,,12,,,,
,,2,Organisation,Bee O'clock,,
,,3,,,,
,2023-11-28,15,Writing,UCC,Notes,
